kind
Abraxas grossulariata
Abrostola triplasia
Acherontia atropos
Achyla flavicornis
Acronicta aceris
Acronicta alni
Acronicta auricoma
Acronicta leporina
Acronicta psi
Acronicta rumicis
Actinotia radiosa
Hipparchia fagi
Hipparchia neomiris
Hipparchia semele
Hipparchia statilinus
Hippotion celerio
Histia rhodope
Holoarctia puengeleri
Holochila
Horisme vitalbata
Hyalophora cecropia
Hyles centralasiae
Hyles chamyla
Hyles euphorbiae
Hyles gallii
Hyles hippophaes
Hyles livornica
Hyloicus pinastri
Hypena crassalis
Hypena rostralis
Hypercallia citrinalis
Hypercompe scribonia
Hypermnestra helios
Hyphilaria parthenis
Hyphilaria thasus
